source_acronym,source_structure_id,n_units_sampled,matched_injection_acronym,matched_injection_structure_id,n_injection_experiments,target_structure_id,target_acronym,n_experiments,mean_projection_density,median_projection_density,mean_projection_energy,median_projection_energy,mean_normalized_projection_volume,median_normalized_projection_volume
VISp,385,65,VISp,385,33,573,VISl4,33,0.1729407135624551,0.0521511510014534,663.4344935681635,60.7065162658691,0.04667635663270748,0.0282917922093824
VISp,385,65,VISp,385,33,973,VISl2/3,33,0.1699306486402995,0.0535433728452722,667.3913780973837,47.9151306152344,0.08058080731743271,0.0546864355900692
VISp,385,65,VISp,385,33,377,VISpl6a,33,0.1652219281643085,0.0837871802321366,375.97048537919335,46.6713523864746,0.028307384411033976,0.0162948405673595
VISp,385,65,VISp,385,33,869,VISpl4,33,0.16133003072358576,0.0429341106580343,490.76414992699983,21.3689117431641,0.009102780288237092,0.0035685350443247
VISp,385,65,VISp,385,33,312782594,VISli6a,33,0.1606301712816344,0.0511856497503706,505.16287603669605,28.7637583742242,0.01936931950689275,0.0134761321327807
VISp,385,65,VISp,385,33,421,VISl1,33,0.14831923152611692,0.0321337059140205,610.0037345010879,23.8018291192872,0.04254020347554515,0.0347611091989174
VISp,385,65,VISp,385,33,312782648,VISpor6a,33,0.145488989964156,0.0534634561070513,485.5666970381143,29.2208042144775,0.0396991395045181,0.0249365020155683
VISp,385,65,VISp,385,33,393,VISpl6b,33,0.14466237369216842,0.0803659856319427,285.70666881776185,43.4995378575576,0.0019818093378474568,0.0012678334809682
VISp,385,65,VISp,385,33,496345668,LGd-co,33,0.1435811620191684,0.0489788292433133,633.6001009253598,39.3876361551985,0.11349228926317344,0.128028116696413
VISp,385,65,VISp,385,33,170,LGd,33,0.14336017512044674,0.0456407263637065,676.815763396135,48.224896289663,0.19244861673614547,0.210389154848156
VISp,385,65,VISp,385,33,312782598,VISli6b,33,0.14222458694790185,0.0639053583145142,414.8458049510002,27.4117774963379,0.0034367097934499082,0.0019717361321251
VISp,385,65,VISp,385,33,178,LGv,33,0.13953365817721977,0.0444871000945568,490.93450969485065,25.4293842315674,0.11068143193431244,0.122238685905388
VISp,385,65,VISp,385,33,385,VISp,33,0.1332694454135777,0.0865928593456033,407.59425329687076,116.300609517929,1.7055467358053742,1.6965530969903
VISp,385,65,VISp,385,33,1014,GENv,33,0.13011590984607185,0.0445952948904782,433.5348971721327,22.8715600215199,0.13621841957111405,0.147968714784961
VISp,385,65,VISp,385,33,902,VISpl5,33,0.12737661535256986,0.0532575100660324,292.53426390228253,26.8298863135082,0.049876850747490376,0.0321867280115514
VISp,385,65,VISp,385,33,425,VISpl,33,0.12620426371256266,0.0560507384616951,314.7125092035176,35.0046033211495,0.16819034666444896,0.120399879402458
VISp,385,65,VISp,385,33,601,VISal6a,33,0.12456381328697398,0.0536740329739539,332.28502943663995,29.3564224243164,0.023651164884404545,0.0210079822676943
VISp,385,65,VISp,385,33,496345664,LGd-sh,33,0.12433140769025854,0.0365132660783734,563.194148308163,47.7263707834125,0.04778697660191079,0.0455603863667069
VISp,385,65,VISp,385,33,593,VISp1,33,0.12320655703015639,0.0701209232211113,432.7063535486932,121.100227355957,0.30698487997129376,0.275149440731887
VISp,385,65,VISp,385,33,312782652,VISpor6b,33,0.12211868958184742,0.0456033198310721,332.6228817796777,20.5300331115723,0.005974524493733209,0.0031535382277929
VISp,385,65,VISp,385,33,821,VISp2/3,33,0.12117571254393887,0.0787348252566115,372.27216725217977,102.013544704629,0.45059669286209314,0.456200158968482
