unit_id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype,channel__ecephys_probe_id,channel__local_index,channel__probe_horizontal_position,channel__probe_vertical_position,channel__anterior_posterior_ccf_coordinate,channel__dorsal_ventral_ccf_coordinate,channel__left_right_ccf_coordinate,channel__ecephys_structure_id,channel__ecephys_structure_acronym,channel__ecephys_session_id,channel__lfp_sampling_rate,channel__phase,channel__sampling_rate,channel__has_lfp_data,channel__unit_count
951099341,0.498476027375231,165.22194,0.0002838736360451,285.08,3.39387272313831,0.618090452261306,849773492,0.809048131842926,0.233500837520938,0.232889789649532,53.4308486740898,0.0030820924306124,44.33,0.817901234567901,0.0014152850788516,0.99,-0.0382996149453821,0.462793205901556,0.106875246437896,1.73108149346548,90.0,0.961474036850922,-0.549413735343384,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,6
951099354,0.392135037462046,268.72053,0.001031470200941,95.26,2.67535490936661,0.576884422110553,849773492,2.14498924083931,0.219765494137353,0.0082830243836967,94.9097211919732,0.0003570266925951,46.4,0.982578397212544,0.0008579566903462,0.99,-0.0663720153032905,0.83479838894312,0.0719822112218137,2.4396933983022,70.0,2.06030150753769,-0.480737018425461,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,6
951099367,0.29379799802894,275.621385,0.0044722877831719,113.27,5.03685525587446,0.535678391959799,849773492,0.685814961578551,0.1785594639866,0.162052323034356,54.3413207775709,0.0021439361556241,38.06,0.886446886446886,0.0005718706899451,0.99,-0.0741905328638806,1.0038780770418,0.209698764746532,2.6823848434962,60.0,-0.0686767169179227,-1.03015075376885,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,6
951099409,0.329135397679722,369.398835,0.0078020399668731,322.85,4.23546637975855,0.604355108877722,849773492,0.680121019718151,0.1785594639866,0.0,68.7568909047596,0.0004917296106923,37.21,0.921985815602837,0.0004710949592839,0.99,-0.0420253786669741,0.583887128994598,0.212899132479308,1.64047936332601,70.0,-0.0588657573582197,-0.68676716917923,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,6
951102871,0.327264482258835,223.989285,0.003239277632072,157.26,4.81464463257859,0.604355108877722,849773492,0.526384589487348,0.233500837520938,0.137541210880925,56.6105928808572,0.0013639669265889,40.81,0.819047619047619,0.0007385028533064,0.99,-0.0762161584868513,0.638127290010654,0.0868651255768678,2.18704746884232,70.0,1.71691792294807,-1.23618090452261,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,6
951102889,0.347237793742186,123.444165,0.005537144523942,432.41,2.98554515828215,0.412060301507538,849773492,0.849719145131498,0.1785594639866,0.369476149606312,53.9498125758682,0.0019728317538915,38.4,0.851485148514851,0.0013806108361113,0.99,-0.0146897530689806,0.459777252321082,0.0416328037709409,1.26799082435917,100.0,0.372816463268725,-0.274706867671692,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,10,59,120,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,6
951099451,0.332147292896747,286.697385,0.0011729369064694,63.39,5.1031736545655,0.618090452261307,849773498,1.51804557099596,0.192294807370184,0.0,74.0472996894789,0.0012180400435987,32.93,0.963665086887836,0.0009193993257738,0.99,-0.119267191841693,0.954437841631684,0.129797462313359,2.88791491702514,70.0,0.343383584589615,-0.274706867671692,832810580,13,11,140,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,13,11,140,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,1
951099505,0.245902080858351,195.630825,0.0019100274944185,69.88,4.00878283487704,0.65929648241206,849773500,5.02907247066519,0.206030150753769,0.0542457713273694,119.916491650941,0.0004223579917574,37.9,0.998,0.001358285541805,0.99,-0.0385474223154115,0.5790823683273,0.13100074168393,1.9575689503962,80.0,0.137353433835846,0.0686767169179225,832810580,14,59,160,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,14,59,160,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,2
951099517,0.369342084356299,216.075405,0.0031723635632287,149.16,4.60683817712186,0.604355108877722,849773500,3.07727054294661,0.260971524288107,0.0120733856077409,97.5004909606379,0.0002900667348866,32.73,0.997333333333333,0.0003782720532607,0.99,-0.0582462915517483,0.602367071088471,0.188418386932541,1.71095191596106,80.0,-0.480737018425461,-0.480737018425461,832810580,14,59,160,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,14,59,160,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,2
951099530,0.326127514983754,207.514515,0.0096217744248962,87.34,4.87513899107584,0.727973199329983,849773504,10.0381144672858,0.288442211055276,0.0540864556290521,69.4171127451302,0.0033455354001469,35.68,0.988666666666667,0.0002005917456496,0.99,-0.0449009550202963,0.595673950145917,0.106121485958974,2.19065541045537,90.0,0.206030150753769,-0.68676716917923,832810580,16,43,180,,,,8.0,grey,831882777,1249.99685970866,probeD,3a,29999.9246330078,True,2019-03-06T09:04:43Z,2019-10-03T00:00:00Z,803390291,functional_connectivity,137.0,M,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,832810580,16,43,180,,,,8.0,grey,831882777,1249.99685970866,3a,29999.9246330078,True,1
