source_acronym,source_structure_id,n_units_sampled,match_quality,matched_injection_acronym,matched_injection_structure_id,match_note,n_injection_experiments,target_structure_id,target_acronym,n_unionize_experiments,mean_projection_density,median_projection_density,mean_projection_energy,median_projection_energy,mean_normalized_projection_volume,median_normalized_projection_volume
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,982,FC,33,0.01231123986612962,0.0002004999987548,18.995180701399118,0.093182809650898,0.006308722524200189,0.0001212537620647
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,139,ENTl5,33,0.01180951202811617,0.0001656225940678,18.770051231832173,0.142702674091264,0.07997030214024202,0.0013268947184135
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,56,ACB,33,0.011735895814546897,2.79634205071488e-05,28.454074565968863,0.0199316646903753,0.2606223818536084,0.0005666050276386
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,335,PERI6a,33,0.011553330606237904,0.0,17.935495172718877,0.0,0.0023901502585823202,0.0
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,603,fi,33,0.011518358622605515,0.0011998576441625,37.93143668145926,0.376652204431534,0.09429284254899128,0.008713980399576
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,780,PA,33,0.011436816553109451,1.48180208725535e-06,24.990800889210455,0.0003403643064678,0.06718177464176034,2.09279559696667e-05
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,576073704,PeF,33,0.0109981612785572,0.0001097102834969,17.98162023588285,0.0317329651625136,0.011416889696645598,0.0001098893506483
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,822,RHP,33,0.010574341008903327,0.0029662770778994,24.23114796954976,3.26921787999442,1.2099243558780557,0.572086469536356
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,1,TMv,33,0.0104029479991332,0.0007014161092229,13.336858603656664,0.226061403751373,0.007552353903194869,0.0004963949096578
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,827,ILA5,33,0.00999247482230488,6.63204343005639e-11,14.336959944751964,1.36885372062756e-08,0.016631582563982186,1.67808086411292e-10
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,463,CA3,33,0.009819334726800705,0.0032173330896792,21.311483471513426,2.75430560112,0.29430831623967296,0.150978058553933
CA1,382,107,exact,CA1,382,Exact injection_structure_ids match.,33,1120,IAM,33,0.009733781983224554,0.0,13.893826335917954,0.0,0.0016892683446129595,0.0
VISrl,417,92,exact,VISrl,417,Exact injection_structure_ids match.,22,312782620,VISrl6a,22,0.1662079056043712,0.08398584834723895,711.2608952702731,100.15216064453111,0.1376309273106594,0.110592773107064
VISrl,417,92,exact,VISrl,417,Exact injection_structure_ids match.,22,312782624,VISrl6b,22,0.1549229088451512,0.08514600096038405,549.638258777965,63.52737032499306,0.028102089907555937,0.0244368140879813
VISrl,417,92,exact,VISrl,417,Exact injection_structure_ids match.,22,312782608,VISrl2/3,22,0.1479157442285761,0.1059011984118655,550.6034506029225,143.9746367728805,0.23938760752371083,0.1883139807176955
VISrl,417,92,exact,VISrl,417,Exact injection_structure_ids match.,22,417,VISrl,22,0.1467431746097654,0.09382024939128131,570.1598171709015,109.91034117507749,0.9013307020927481,0.6558147742866995
