perm_idx,accuracy,balanced_accuracy,auc
114,0.4830508474576271,0.4754689754689755,0.4796536796536796
115,0.4915254237288136,0.488023088023088,0.5220779220779221
116,0.3813559322033898,0.37676767676767675,0.3090909090909091
117,0.5084745762711864,0.5073593073593073,0.49264069264069266
118,0.5254237288135594,0.5232323232323233,0.4903318903318904
119,0.6101694915254238,0.6072150072150072,0.5818181818181818
120,0.5508474576271186,0.5481962481962481,0.5333333333333332
121,0.4491525423728814,0.4483405483405483,0.3835497835497836
122,0.4322033898305085,0.4266955266955267,0.39365079365079364
123,0.3898305084745763,0.38701298701298703,0.38672438672438675
124,0.4152542372881356,0.4154401154401154,0.36854256854256856
125,0.3898305084745763,0.3812409812409812,0.35728715728715726
126,0.5084745762711864,0.5038961038961038,0.5313131313131312
127,0.4406779661016949,0.4380952380952381,0.38845598845598844
128,0.5,0.49711399711399706,0.41298701298701296
129,0.4576271186440678,0.45396825396825397,0.41240981240981245
130,0.5932203389830508,0.5924963924963924,0.5875901875901876
131,0.4491525423728814,0.44256854256854256,0.4894660894660895
132,0.5169491525423728,0.5141414141414141,0.49639249639249644
133,0.4491525423728814,0.4494949494949495,0.4484848484848485
134,0.4915254237288136,0.4868686868686869,0.4623376623376623
135,0.559322033898305,0.556132756132756,0.5111111111111111
136,0.5,0.49134199134199136,0.4597402597402597
137,0.4830508474576271,0.48124098124098125,0.4614718614718615
138,0.5423728813559322,0.5448773448773448,0.5552669552669552
139,0.4322033898305085,0.4278499278499278,0.4135642135642135
140,0.4322033898305085,0.4313131313131313,0.44040404040404046
141,0.4322033898305085,0.42554112554112555,0.4034632034632035
142,0.5169491525423728,0.5106782106782106,0.44646464646464645
143,0.4830508474576271,0.4789321789321789,0.5108225108225108
144,0.5084745762711864,0.5027417027417027,0.46580086580086577
145,0.5254237288135594,0.5243867243867244,0.47215007215007215
146,0.576271186440678,0.5789321789321789,0.5847041847041847
147,0.6016949152542372,0.6015873015873016,0.634054834054834
148,0.3983050847457627,0.3937950937950938,0.40577200577200573
149,0.4661016949152542,0.4665223665223665,0.47676767676767673
150,0.576271186440678,0.5731601731601732,0.5393939393939394
151,0.559322033898305,0.556132756132756,0.5884559884559885
152,0.4491525423728814,0.446031746031746,0.4121212121212121
153,0.4745762711864407,0.47099567099567097,0.4614718614718614
154,0.4915254237288136,0.4868686868686869,0.5151515151515151
155,0.5508474576271186,0.5458874458874459,0.5422799422799423
156,0.4491525423728814,0.44718614718614713,0.42279942279942284
157,0.4576271186440678,0.45858585858585854,0.4784992784992785
158,0.5677966101694916,0.5606060606060606,0.49523809523809526
159,0.4745762711864407,0.47445887445887447,0.43867243867243866
160,0.4576271186440678,0.4551226551226551,0.46580086580086577
161,0.4152542372881356,0.4154401154401154,0.38759018759018765
162,0.4406779661016949,0.43694083694083696,0.3838383838383838
163,0.423728813559322,0.42568542568542567,0.35584415584415585
164,0.5847457627118644,0.57994227994228,0.5743145743145742
165,0.5508474576271186,0.5505050505050505,0.5171717171717172
166,0.4745762711864407,0.47445887445887447,0.43001443001443007
167,0.4067796610169492,0.40288600288600285,0.3792207792207791
168,0.5169491525423728,0.5141414141414141,0.5041847041847041
169,0.5423728813559322,0.5367965367965368,0.5258297258297259
170,0.5338983050847458,0.5323232323232323,0.49927849927849927
171,0.5338983050847458,0.5311688311688312,0.5347763347763348
172,0.4661016949152542,0.4595959595959596,0.40259740259740256
173,0.3728813559322034,0.3711399711399711,0.33217893217893213
174,0.4915254237288136,0.49148629148629147,0.5111111111111111
175,0.3135593220338983,0.30865800865800863,0.2329004329004329
176,0.4406779661016949,0.4357864357864358,0.4392496392496393
177,0.4830508474576271,0.4789321789321789,0.498989898989899
178,0.5338983050847458,0.5334776334776334,0.6150072150072149
179,0.5338983050847458,0.5311688311688312,0.546031746031746
180,0.4915254237288136,0.48917748917748916,0.486002886002886
181,0.4322033898305085,0.429004329004329,0.4366522366522366
182,0.5169491525423728,0.5106782106782106,0.5206349206349206
183,0.4491525423728814,0.44256854256854256,0.4640692640692641
184,0.3220338983050847,0.32005772005772004,0.27041847041847045
185,0.6016949152542372,0.6015873015873016,0.61010101010101
186,0.5677966101694916,0.5652236652236652,0.5864357864357864
187,0.4661016949152542,0.4676767676767677,0.46868686868686876
188,0.4830508474576271,0.4777777777777778,0.45021645021645024
189,0.4491525423728814,0.44718614718614713,0.44819624819624815
190,0.4322033898305085,0.4278499278499278,0.3642135642135642
191,0.6016949152542372,0.5958152958152958,0.6268398268398268
192,0.4915254237288136,0.488023088023088,0.4914862914862915
193,0.5,0.4982683982683983,0.45858585858585854
194,0.576271186440678,0.5708513708513708,0.5339105339105339
195,0.4830508474576271,0.4800865800865801,0.42366522366522374
196,0.5338983050847458,0.5334776334776334,0.49264069264069266
197,0.5423728813559322,0.5367965367965368,0.5004329004329005
198,0.5423728813559322,0.5367965367965368,0.5082251082251082
199,0.5084745762711864,0.5096681096681096,0.4686868686868687
200,0.4322033898305085,0.429004329004329,0.4311688311688312
201,0.4491525423728814,0.44372294372294374,0.41038961038961047
202,0.5169491525423728,0.5164502164502165,0.5327561327561328
203,0.6101694915254238,0.6095238095238096,0.5959595959595959
204,0.5508474576271186,0.5505050505050505,0.5991341991341992
205,0.4491525423728814,0.4483405483405483,0.4444444444444444
206,0.4745762711864407,0.4721500721500721,0.43434343434343436
207,0.5847457627118644,0.5857142857142856,0.5878787878787879
208,0.5423728813559322,0.537950937950938,0.4796536796536796
209,0.5508474576271186,0.5447330447330447,0.4984126984126984
210,0.4661016949152542,0.46190476190476193,0.4733044733044733
211,0.4576271186440678,0.4505050505050505,0.4066378066378066
212,0.5423728813559322,0.5367965367965368,0.5708513708513709
213,0.6016949152542372,0.6004329004329004,0.6005772005772007
214,0.5254237288135594,0.5186147186147186,0.4692640692640693
215,0.3983050847457627,0.39610389610389607,0.3737373737373737
216,0.4491525423728814,0.4483405483405483,0.4164502164502164
217,0.4576271186440678,0.4597402597402597,0.4418470418470418
218,0.559322033898305,0.556132756132756,0.5924963924963924
219,0.5338983050847458,0.5277056277056277,0.5180375180375181
220,0.576271186440678,0.5731601731601732,0.5696969696969696
221,0.5508474576271186,0.5528138528138529,0.5953823953823953
222,0.3898305084745763,0.38701298701298703,0.32496392496392495
223,0.5084745762711864,0.5050505050505051,0.5292929292929294
224,0.4322033898305085,0.429004329004329,0.4418470418470419
225,0.423728813559322,0.41645021645021646,0.3823953823953824
226,0.5084745762711864,0.5096681096681096,0.5272727272727272
227,0.5508474576271186,0.5435786435786436,0.5373737373737374
228,0.4152542372881356,0.4131313131313131,0.36796536796536794
229,0.4491525423728814,0.446031746031746,0.38037518037518037
230,0.5169491525423728,0.5152958152958153,0.5099567099567099
231,0.5338983050847458,0.5334776334776334,0.46551226551226554
232,0.4491525423728814,0.44487734487734487,0.46291486291486295
233,0.6016949152542372,0.5911976911976912,0.5751803751803751
