time,fluorescence,cell_specimen_id,ophys_experiment_id,experiment_container_id
2015.14073,223.15,517471906,501704220,511510736
2015.17398,231.11111,517471906,501704220,511510736
2015.20722,204.1,517471906,501704220,511510736
2015.24047,211.36111,517471906,501704220,511510736
2015.27372,209.73889,517471906,501704220,511510736
2015.30696,222.59445,517471906,501704220,511510736
2015.34021,205.67223,517471906,501704220,511510736
2015.37346,221.40555,517471906,501704220,511510736
2015.40671,211.55556,517471906,501704220,511510736
2015.43995,212.67778,517471906,501704220,511510736
2015.4732,217.01666,517471906,501704220,511510736
2015.50645,214.40555,517471906,501704220,511510736
2015.53969,230.67223,517471906,501704220,511510736
2015.57294,213.91667,517471906,501704220,511510736
2015.60619,207.57222,517471906,501704220,511510736
2015.63943,216.61111,517471906,501704220,511510736
2015.67268,217.88333,517471906,501704220,511510736
2015.70593,206.83333,517471906,501704220,511510736
2015.73917,217.94444,517471906,501704220,511510736
2015.77242,209.81667,517471906,501704220,511510736
2015.80567,201.71666,517471906,501704220,511510736
2015.83891,215.52777,517471906,501704220,511510736
2015.87216,214.25555,517471906,501704220,511510736
2015.90541,219.42223,517471906,501704220,511510736
2015.93865,216.12222,517471906,501704220,511510736
2015.9719,229.72778,517471906,501704220,511510736
2016.00515,215.87222,517471906,501704220,511510736
2016.03839,203.17778,517471906,501704220,511510736
2016.07164,228.29445,517471906,501704220,511510736
2016.10489,216.32777,517471906,501704220,511510736
2016.13813,227.44444,517471906,501704220,511510736
2016.17138,216.4611,517471906,501704220,511510736
2016.20463,220.75555,517471906,501704220,511510736
2016.23787,239.83333,517471906,501704220,511510736
2016.27112,222.81667,517471906,501704220,511510736
2016.30437,222.83888,517471906,501704220,511510736
2016.33761,215.13889,517471906,501704220,511510736
2016.37086,218.83333,517471906,501704220,511510736
2016.40411,218.76666,517471906,501704220,511510736
2016.43736,221.72778,517471906,501704220,511510736
2016.4706,225.16112,517471906,501704220,511510736
2016.50385,217.77777,517471906,501704220,511510736
2016.5371,217.30556,517471906,501704220,511510736
2016.57034,233.45,517471906,501704220,511510736
2016.60359,214.5,517471906,501704220,511510736
2016.63684,242.37778,517471906,501704220,511510736
2016.67008,223.83333,517471906,501704220,511510736
2016.70333,242.17778,517471906,501704220,511510736
2016.73658,217.67223,517471906,501704220,511510736
2016.76982,224.51111,517471906,501704220,511510736
2016.80307,215.58333,517471906,501704220,511510736
2016.83632,225.81111,517471906,501704220,511510736
2016.86956,213.86667,517471906,501704220,511510736
2016.90281,234.5389,517471906,501704220,511510736
2016.93606,206.37778,517471906,501704220,511510736
2016.9693,215.07222,517471906,501704220,511510736
2017.00255,228.24445,517471906,501704220,511510736
2017.0358,213.98889,517471906,501704220,511510736
2017.06904,240.12222,517471906,501704220,511510736
2017.10229,232.78334,517471906,501704220,511510736
2017.13554,215.53334,517471906,501704220,511510736
2017.16878,221.06111,517471906,501704220,511510736
2017.20203,227.10556,517471906,501704220,511510736
2017.23528,222.98889,517471906,501704220,511510736
2017.26852,222.66112,517471906,501704220,511510736
2017.30177,240.73889,517471906,501704220,511510736
2017.33502,237.81667,517471906,501704220,511510736
2017.36826,226.91667,517471906,501704220,511510736
2017.40151,216.61111,517471906,501704220,511510736
2017.43476,222.03334,517471906,501704220,511510736
2017.46801,220.20555,517471906,501704220,511510736
2017.50125,237.66112,517471906,501704220,511510736
2017.5345,253.64444,517471906,501704220,511510736
2017.56775,239.73889,517471906,501704220,511510736
2017.60099,223.59445,517471906,501704220,511510736
2017.63424,223.54445,517471906,501704220,511510736
2017.66749,224.35556,517471906,501704220,511510736
2017.70073,226.82222,517471906,501704220,511510736
2017.73398,229.2889,517471906,501704220,511510736
2017.76723,222.55556,517471906,501704220,511510736
2017.80047,221.33888,517471906,501704220,511510736
2017.83372,223.22223,517471906,501704220,511510736
2017.86697,221.89444,517471906,501704220,511510736
2017.90021,238.47778,517471906,501704220,511510736
2017.93346,226.21666,517471906,501704220,511510736
2017.96671,222.54445,517471906,501704220,511510736
2017.99995,218.16112,517471906,501704220,511510736
2018.0332,212.35556,517471906,501704220,511510736
2018.06645,221.36111,517471906,501704220,511510736
2018.09969,227.88333,517471906,501704220,511510736
2018.13294,219.73889,517471906,501704220,511510736
2018.16619,225.23334,517471906,501704220,511510736
2018.19943,218.19444,517471906,501704220,511510736
2018.23268,232.7111,517471906,501704220,511510736
2018.26593,215.07777,517471906,501704220,511510736
2018.29917,218.42223,517471906,501704220,511510736
2018.33242,230.36667,517471906,501704220,511510736
2018.36567,217.88333,517471906,501704220,511510736
2018.39891,222.66667,517471906,501704220,511510736
2018.43216,213.68889,517471906,501704220,511510736
2018.46541,209.73334,517471906,501704220,511510736
2018.49866,219.10556,517471906,501704220,511510736
2018.5319,220.17778,517471906,501704220,511510736
2018.56515,210.13333,517471906,501704220,511510736
2018.5984,211.90555,517471906,501704220,511510736
2018.63164,218.11111,517471906,501704220,511510736
2018.66489,234.80556,517471906,501704220,511510736
2018.69814,225.35,517471906,501704220,511510736
2018.73138,220.83888,517471906,501704220,511510736
2018.76463,217.23889,517471906,501704220,511510736
2018.79788,213.72223,517471906,501704220,511510736
2018.83112,229.28334,517471906,501704220,511510736
2018.86437,225.15,517471906,501704220,511510736
2018.89762,220.69444,517471906,501704220,511510736
2018.93086,218.56111,517471906,501704220,511510736
2018.96411,223.32222,517471906,501704220,511510736
2018.99736,198.62222,517471906,501704220,511510736
2019.0306,228.97778,517471906,501704220,511510736
2019.06385,228.37222,517471906,501704220,511510736
2019.0971,214.65555,517471906,501704220,511510736
2019.13034,224.29445,517471906,501704220,511510736
2019.16359,225.86667,517471906,501704220,511510736
2019.19684,230.01111,517471906,501704220,511510736
2019.23008,217.77222,517471906,501704220,511510736
2019.26333,233.84445,517471906,501704220,511510736
2019.29658,220.27777,517471906,501704220,511510736
2019.32982,225.11667,517471906,501704220,511510736
2019.36307,224.84445,517471906,501704220,511510736
2019.39632,227.18333,517471906,501704220,511510736
2019.42956,226.51111,517471906,501704220,511510736
2019.46281,234.17223,517471906,501704220,511510736
2019.49606,216.88333,517471906,501704220,511510736
2019.52931,209.16667,517471906,501704220,511510736
2019.56255,218.77777,517471906,501704220,511510736
2019.5958,226.57777,517471906,501704220,511510736
2019.62905,225.91667,517471906,501704220,511510736
2019.66229,217.35,517471906,501704220,511510736
2019.69554,217.41667,517471906,501704220,511510736
2019.72879,209.46666,517471906,501704220,511510736
2019.76203,208.46666,517471906,501704220,511510736
2019.79528,220.16112,517471906,501704220,511510736
