time,fluorescence,cell_specimen_id,ophys_experiment_id,experiment_container_id,session_type
2836.6686,523.64844,662275084,652989705,652736297,three_session_B
2836.70186,489.9453,662275084,652989705,652736297,three_session_B
2836.73511,529.6719,662275084,652989705,652736297,three_session_B
2836.76837,533.9922,662275084,652989705,652736297,three_session_B
2836.80162,518.5781,662275084,652989705,652736297,three_session_B
2836.83487,487.125,662275084,652989705,652736297,three_session_B
2836.86813,539.21094,662275084,652989705,652736297,three_session_B
2836.90138,525.6797,662275084,652989705,652736297,three_session_B
2836.93464,519.83594,662275084,652989705,652736297,three_session_B
2836.96789,511.95312,662275084,652989705,652736297,three_session_B
2837.00114,504.26562,662275084,652989705,652736297,three_session_B
2837.0344,483.46094,662275084,652989705,652736297,three_session_B
2837.06765,585.5547,662275084,652989705,652736297,three_session_B
2837.1009,586.0781,662275084,652989705,652736297,three_session_B
2837.13416,579.8047,662275084,652989705,652736297,three_session_B
2837.16741,518.84375,662275084,652989705,652736297,three_session_B
2837.20067,522.0156,662275084,652989705,652736297,three_session_B
2837.23392,519.39844,662275084,652989705,652736297,three_session_B
2837.26717,545.03906,662275084,652989705,652736297,three_session_B
2837.30043,468.35938,662275084,652989705,652736297,three_session_B
2837.33368,502.3125,662275084,652989705,652736297,three_session_B
2837.36694,523.47656,662275084,652989705,652736297,three_session_B
2837.40019,517.6875,662275084,652989705,652736297,three_session_B
2837.43344,505.48438,662275084,652989705,652736297,three_session_B
2837.4667,560.1328,662275084,652989705,652736297,three_session_B
2837.49995,476.39062,662275084,652989705,652736297,three_session_B
2837.53321,491.40625,662275084,652989705,652736297,three_session_B
2837.56646,495.84375,662275084,652989705,652736297,three_session_B
2837.59971,576.64844,662275084,652989705,652736297,three_session_B
2837.63297,480.03906,662275084,652989705,652736297,three_session_B
2837.66622,556.6797,662275084,652989705,652736297,three_session_B
2837.69948,504.53125,662275084,652989705,652736297,three_session_B
2837.73273,499.07812,662275084,652989705,652736297,three_session_B
2837.76598,544.4531,662275084,652989705,652736297,three_session_B
2837.79924,488.1875,662275084,652989705,652736297,three_session_B
2837.83249,505.0,662275084,652989705,652736297,three_session_B
2837.86575,523.5078,662275084,652989705,652736297,three_session_B
2837.899,499.52344,662275084,652989705,652736297,three_session_B
2837.93225,549.22656,662275084,652989705,652736297,three_session_B
2837.96551,490.0078,662275084,652989705,652736297,three_session_B
2837.99876,526.8594,662275084,652989705,652736297,three_session_B
2838.03202,502.65625,662275084,652989705,652736297,three_session_B
2838.06527,514.47656,662275084,652989705,652736297,three_session_B
2838.09852,550.47656,662275084,652989705,652736297,three_session_B
2838.13178,525.6094,662275084,652989705,652736297,three_session_B
2838.16503,496.23438,662275084,652989705,652736297,three_session_B
2838.19829,511.1875,662275084,652989705,652736297,three_session_B
2838.23154,457.97656,662275084,652989705,652736297,three_session_B
2838.26479,452.79688,662275084,652989705,652736297,three_session_B
2838.29805,504.20312,662275084,652989705,652736297,three_session_B
2838.3313,463.66406,662275084,652989705,652736297,three_session_B
2838.36456,519.53906,662275084,652989705,652736297,three_session_B
2838.39781,456.8047,662275084,652989705,652736297,three_session_B
2838.43106,455.21875,662275084,652989705,652736297,three_session_B
2838.46432,483.3828,662275084,652989705,652736297,three_session_B
2838.49757,505.65625,662275084,652989705,652736297,three_session_B
2838.53083,470.28906,662275084,652989705,652736297,three_session_B
2838.56408,484.3672,662275084,652989705,652736297,three_session_B
2838.59733,504.14844,662275084,652989705,652736297,three_session_B
2838.63059,512.77344,662275084,652989705,652736297,three_session_B
2838.66384,490.27344,662275084,652989705,652736297,three_session_B
2838.6971,521.125,662275084,652989705,652736297,three_session_B
2838.73035,542.35156,662275084,652989705,652736297,three_session_B
2838.7636,448.2578,662275084,652989705,652736297,three_session_B
2838.79686,492.41406,662275084,652989705,652736297,three_session_B
2838.83011,476.78906,662275084,652989705,652736297,three_session_B
