heldout_stimulus_index,heldout_true_label,k,added_pool_index,added_clean_feature_index,added_original_neuron_index,train_accuracy,train_balanced_accuracy,heldout_score,heldout_pred,heldout_correct,candidate_single_train_balanced_accuracy
50,1,6,783,2208,2208,0.8717948717948718,0.8769794721407624,-0.00020804713130928576,0,0,0.6214076280593872
51,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.0010606975993141532,1,1,0.7448680400848389
51,1,2,89,29128,29128,0.7863247863247863,0.7932551319648093,0.0005817925557494164,1,1,0.6580645442008972
51,1,3,309,26585,26585,0.8290598290598291,0.8346041055718475,-1.3805809430778027e-05,0,0,0.6379765272140503
51,1,4,622,8916,8916,0.8547008547008547,0.8608504398826979,0.00017555223894305527,1,1,0.6247800588607788
51,1,5,119,33217,33217,0.8632478632478633,0.8689149560117302,0.00010296745313098654,1,1,0.6530791521072388
51,1,6,410,3871,3871,0.8717948717948718,0.8780058651026392,0.00022391458333004266,1,1,0.6335777044296265
51,1,7,191,28485,28485,0.8803418803418803,0.8860703812316715,-0.0002352196170249954,0,0,0.6458944082260132
51,1,8,962,20216,20216,0.8888888888888888,0.8941348973607037,-0.0008685732609592378,0,0,0.6175953149795532
51,1,9,994,37053,37053,0.905982905982906,0.9102639296187683,-0.001006879610940814,0,0,0.6167155504226685
52,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.0024832093622535467,0,0,0.7529325485229492
52,1,2,92,29128,29128,0.7948717948717948,0.8013196480938416,-0.003619780298322439,0,0,0.6580645442008972
52,1,3,422,8916,8916,0.8290598290598291,0.8356304985337244,-0.004681735765188932,0,0,0.6328445672988892
52,1,4,312,26585,26585,0.8632478632478633,0.8689149560117302,-0.005277334246784449,0,0,0.6379765272140503
52,1,5,215,33217,33217,0.8717948717948718,0.8769794721407624,-0.004978549666702747,0,0,0.6450146436691284
52,1,6,776,2166,2166,0.8803418803418803,0.8860703812316715,-0.004635707940906286,0,0,0.6214076280593872
53,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.0036905270535498857,0,0,0.7529325485229492
53,1,2,374,13709,13709,0.7948717948717948,0.8043988269794722,0.001259158132597804,1,1,0.6340175867080688
53,1,3,895,34404,34404,0.8205128205128205,0.8285923753665689,0.001472667558118701,1,1,0.6186217069625854
53,1,4,188,31183,31183,0.8376068376068376,0.8447214076246334,0.000944688857998699,1,1,0.6460410356521606
53,1,5,34,18738,18738,0.8547008547008547,0.8618768328445747,0.0010801618918776512,1,1,0.6709677577018738
54,1,1,0,35669,35669,0.7435897435897436,0.7529325513196481,-0.0024832093622535467,0,0,0.7529325485229492
54,1,2,89,29128,29128,0.7948717948717948,0.8013196480938416,-0.003619780298322439,0,0,0.6580645442008972
54,1,3,600,34404,34404,0.8376068376068376,0.8436950146627566,-0.003794541349634528,0,0,0.6266862154006958
54,1,4,532,15816,15816,0.8461538461538461,0.8517595307917889,-0.00415318226441741,0,0,0.6287389993667603
54,1,5,947,17194,17194,0.8547008547008547,0.8608504398826979,-0.004278114996850491,0,0,0.618475079536438
55,1,1,0,35669,35669,0.7350427350427351,0.7448680351906158,0.004487539175897837,1,1,0.7448680400848389
55,1,2,395,13709,13709,0.7948717948717948,0.8043988269794722,0.022121064364910126,1,1,0.6340175867080688
