k,loo_accuracy,loo_balanced_accuracy,loo_auc,n_correct,n_total
37,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
38,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
39,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
40,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
41,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
42,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
43,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
44,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
45,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
46,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
47,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
48,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
49,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
50,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
51,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
52,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
53,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
54,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
55,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
56,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
57,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
58,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
59,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
60,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
61,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
62,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
63,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
64,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
65,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
66,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
67,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
68,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
69,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
70,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
71,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
72,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
73,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
74,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
75,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
76,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
77,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
78,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
79,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
80,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
81,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
82,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
83,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
84,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
85,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
86,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
87,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
88,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
89,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
90,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
91,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
92,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
93,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
94,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
95,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
96,0.7033898305084746,0.7095238095238096,0.7298701298701298,83,118
